objectid	izena_nombre	longitude	latitude	izena	nombre
1	Babeslekua / Abrigo	-2,69943037699994	42,5245243360001	Babeslekua	Abrigo
2	Babeslekua / Abrigo	-2,55789628699995	42,5345124630001	Babeslekua	Abrigo
3	Babeslekua / Abrigo	-2,66248596899993	42,5661183140001	Babeslekua	Abrigo
4	Babeslekua / Abrigo	-2,52263926599994	42,5398645540001	Babeslekua	Abrigo
5	Babeslekua / Abrigo	-2,49987512499996	42,5524656100001	Babeslekua	Abrigo
6	Babeslekua / Abrigo	-2,66887221899998	42,5610937180001	Babeslekua	Abrigo
7	Babeslekua / Abrigo	-2,67027823299998	42,5624486370001	Babeslekua	Abrigo
8	Babeslekua / Abrigo	-2,55478667899996	42,5317086250001	Babeslekua	Abrigo
9	Babeslekua / Abrigo	-2,67174634899993	42,5589406020001	Babeslekua	Abrigo
10	Babeslekua / Abrigo	-2,53856842699997	42,5530782430001	Babeslekua	Abrigo
11	Babeslekua / Abrigo	-2,65813398799998	42,5174740940001	Babeslekua	Abrigo
12	Babeslekua / Abrigo	-2,40461296699994	42,5394021670001	Babeslekua	Abrigo
13	Babeslekua / Abrigo	-2,53028275499997	42,5339523150001	Babeslekua	Abrigo
14	Babeslekua / Abrigo	-2,54978832899997	42,5460983680001	Babeslekua	Abrigo
15	Babeslekua / Abrigo	-2,66987224699994	42,5239026510001	Babeslekua	Abrigo
16	Babeslekua / Abrigo	-2,55206596099993	42,4949542190001	Babeslekua	Abrigo
17	Babeslekua / Abrigo	-2,77947595799998	42,581712973	Babeslekua	Abrigo
18	Babeslekua / Abrigo	-2,81421933199994	42,589879739	Babeslekua	Abrigo
19	Babeslekua / Abrigo	-2,82771463499995	42,5709887520001	Babeslekua	Abrigo
20	Babeslekua / Abrigo	-2,55210980499993	42,55358226	Babeslekua	Abrigo
21	Babeslekua / Abrigo	-2,65956677399993	42,5517904990001	Babeslekua	Abrigo
22	Babeslekua / Abrigo	-2,52752608399993	42,558796935	Babeslekua	Abrigo
23	Babeslekua / Abrigo	-2,52322099099996	42,533833094	Babeslekua	Abrigo
24	Babeslekua / Abrigo	-2,65069073199993	42,566443194	Babeslekua	Abrigo
25	Babeslekua / Abrigo	-2,64831649399997	42,5640043760001	Babeslekua	Abrigo
26	Babeslekua / Abrigo	-2,64739417199996	42,5655325220001	Babeslekua	Abrigo
27	Babeslekua / Abrigo	-2,66404053999997	42,5556761890001	Babeslekua	Abrigo
28	Babeslekua / Abrigo	-2,64368787299998	42,568132727	Babeslekua	Abrigo
29	Babeslekua / Abrigo	-2,66393660699993	42,552343745	Babeslekua	Abrigo
30	Babeslekua / Abrigo	-2,64718044699993	42,5580570770001	Babeslekua	Abrigo
31	Babeslekua / Abrigo	-2,64672313799997	42,5570650330001	Babeslekua	Abrigo
32	Babeslekua / Abrigo	-2,52712834799996	42,5533918350001	Babeslekua	Abrigo
33	Babeslekua / Abrigo	-2,53347862199996	42,536486993	Babeslekua	Abrigo
34	Babeslekua / Abrigo	-2,67120988099993	42,559029121	Babeslekua	Abrigo
35	Babeslekua / Abrigo	-2,56592802199998	42,538775894	Babeslekua	Abrigo
36	Babeslekua / Abrigo	-2,56540302499997	42,4968067420001	Babeslekua	Abrigo
37	Babeslekua / Abrigo	-2,56541145299997	42,497347125	Babeslekua	Abrigo
38	Babeslekua / Abrigo	-2,56544733799996	42,4974373200001	Babeslekua	Abrigo
39	Babeslekua / Abrigo	-2,56634636999996	42,4994220140001	Babeslekua	Abrigo
40	Babeslekua / Abrigo	-2,45451011399996	42,5557708800001	Babeslekua	Abrigo
41	Babeslekua / Abrigo	-2,53223298899997	42,5614279160001	Babeslekua	Abrigo
42	Babeslekua / Abrigo	-2,53081297899996	42,5054060310001	Babeslekua	Abrigo
43	Babeslekua / Abrigo	-2,49854949599995	42,555251604	Babeslekua	Abrigo
44	Babeslekua / Abrigo	-2,68535549099994	42,531871332	Babeslekua	Abrigo
45	Babeslekua / Abrigo	-2,54103029799995	42,5212976710001	Babeslekua	Abrigo
46	Babeslekua / Abrigo	-2,60521372399995	42,5465728940001	Babeslekua	Abrigo
47	Babeslekua / Abrigo	-2,56476551699996	42,5395820060001	Babeslekua	Abrigo
48	Babeslekua / Abrigo	-2,53820615199993	42,5609117990001	Babeslekua	Abrigo
49	Babeslekua / Abrigo	-2,65903623299994	42,550798286	Babeslekua	Abrigo
50	Babeslekua / Abrigo	-2,51683018099993	42,5240800560001	Babeslekua	Abrigo
51	Babeslekua / Abrigo	-2,54256850999997	42,55075278	Babeslekua	Abrigo
52	Babeslekua / Abrigo	-2,64141849199996	42,530391401	Babeslekua	Abrigo
53	Babeslekua / Abrigo	-2,63324082599996	42,527483659	Babeslekua	Abrigo
54	Babeslekua / Abrigo	-2,82077679899993	42,581244672	Babeslekua	Abrigo
55	Babeslekua / Abrigo	-2,66002274399995	42,555304108	Babeslekua	Abrigo
56	Babeslekua / Abrigo	-2,67850801699996	42,57778181	Babeslekua	Abrigo
57	Babeslekua / Abrigo	-2,67764947299997	42,5788600870001	Babeslekua	Abrigo
58	Babeslekua / Abrigo	-2,66748773599994	42,5648721310001	Babeslekua	Abrigo
59	Babesleku bikoitza / Abrigo doble	-2,52854199399997	42,550065525	Babesleku bikoitza	Abrigo doble
60	Babeslekua-tranpadura / Abrigo-Fresquera	-2,81187005099997	42,5848326920001	Babeslekua-tranpadura	Abrigo-Fresquera
61	Babesleku-tranpadura / Abrigo-Fresquera	-2,52660970099993	42,544654092	Babesleku-tranpadura	Abrigo-Fresquera
62	Olarizun izurritearentzako ospitale zaharra / Antiguo Hospital para apestados de Olarizu	-2,66068754099996	42,8253830160001	Olarizun izurritearentzako ospitale zaharra	Antiguo Hospital para apestados de Olarizu
63	Geralekua / Apeadero	-2,64106005499997	42,5759595280001	Geralekua	Apeadero
64	Etxola / Casilla	-2,46499714899994	42,5088100770001	Etxola	Casilla
65	Etxola / Casilla	-2,48966358799993	42,5499890300001	Etxola	Casilla
66	Etxola / Casilla	-2,45316314299993	42,4979472160001	Etxola	Casilla
67	Etxola / Casilla	-2,45204372599994	42,5132517870001	Etxola	Casilla
68	Etxola / Casilla	-2,47211348999997	42,5512603890001	Etxola	Casilla
69	Etxola / Casilla	-2,47474398399993	42,5571262220001	Etxola	Casilla
70	Etxola / Casilla	-2,47166825799997	42,556391622	Etxola	Casilla
71	Etxola / Casilla	-2,46140618499993	42,532928833	Etxola	Casilla
72	Etxola / Casilla	-2,46794396499996	42,556014159	Etxola	Casilla
73	Etxola / Casilla	-2,45060839399997	42,5367500630001	Etxola	Casilla
74	Etxola / Casilla	-2,45366210999993	42,5412675540001	Etxola	Casilla
75	Etxola / Casilla	-2,46864564099997	42,537915814	Etxola	Casilla
76	Etxola / Casilla	-2,45467345799995	42,5020070420001	Etxola	Casilla
77	Etxola / Casilla	-2,42845159699994	42,4999880440001	Etxola	Casilla
78	Etxola / Choza	-2,45917611899995	42,5557029400001	Etxola	Choza
