mid	status	title	url
M97979965	ok	File:Errazkingo sakristaua izana elizako karraka jotzen. Errazkin, 1981-05-09.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M97979965
M98246796	ok	File:Asentsio eta Ramon Goikoetxea txalaparta jotzen. Erbetegi Etxeberri baserria, Astigarraga, 1984.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98246796
M98248327	ok	File:Dantzarien ezpata.tif	https://commons.wikimedia.org/wiki/Special:EntityData/M98248327
M98248541	ok	File:Zurezko mailu arrunta.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98248541
M98248722	ok	File:Brontzezko almaiz arrunta.tif	https://commons.wikimedia.org/wiki/Special:EntityData/M98248722
M98248857	ok	File:Almaiz jole bat.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98248857
M98249722	ok	File:Arxalu parea.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98249722
M98250470	ok	File:Ezpelezko bi koilara.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98250470
M98251303	ok	File:Dunba-truco-truca izeneko ezkila.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98251303
M98251453	ok	File:Dantzarien txintxarriak edo txilinak.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98251453
M98252651	ok	File:Anis botila hutsa koilararekin.tif	https://commons.wikimedia.org/wiki/Special:EntityData/M98252651
M98254089	ok	File:Danbolin arrunta.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98254089
M98254234	ok	File:Atabala.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98254234
M98254393	ok	File:Danbor arrunta.tif	https://commons.wikimedia.org/wiki/Special:EntityData/M98254393
M98254828	ok	File:Bonboa.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98254828
M98255004	ok	File:Eltzegorra.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98255004
M98255222	ok	File:Zanbonba.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98255222
M98260439	ok	File:Txulubita pistoiduna.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98260439
M98265956	ok	File:Ziria (soinu-tresna).jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98265956
M98266366	ok	File:Firringila.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98266366
M98266726	ok	File:Burruna.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98266726
M98612881	ok	File:Bandurria arrunta.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98612881
M98613233	ok	File:Arrabita arrunta.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98613233
