pageid	qid
root	Q4
1271090	Q5
63804	Q7
1031441	Q8
334626	Q9
720864	Q10
720875	Q11
1108981	Q12
106078	Q13
1052878	Q14
225122	Q15
142816	Q16
743757	Q17
62460	Q18
585981	Q19
580292	Q20
644272	Q21
107913	Q22
301083	Q23
289381	Q24
1240343	Q25
99545	Q26
140627	Q27
93936	Q28
434521	Q29
1184644	Q30
211820	Q31
897130	Q32
225211	Q33
1045769	Q34
328190	Q35
40204	Q36
961179	Q37
668439	Q38
18729	Q39
81496	Q40
49993	Q41
1052932	Q42
894984	Q43
49989	Q44
730231	Q45
57438	Q46
1204604	Q47
102520	Q48
975930	Q49
932908	Q50
190220	Q51
300229	Q52
239092	Q53
582886	Q54
149325	Q55
932909	Q56
374090	Q57
1031435	Q58
1189880	Q59
585985	Q60
142842	Q61
339892	Q62
143861	Q63
1031433	Q64
645666	Q65
719941	Q66
292132	Q67
1017390	Q68
378053	Q69
9624	Q70
934261	Q71
720936	Q72
1179129	Q73
482886	Q74
841086	Q75
1175255	Q76
909140	Q77
1243928	Q78
908014	Q79
895202	Q80
1179128	Q81
909139	Q82
840355	Q83
1243927	Q84
908013	Q85
105855	Q86
590053	Q87
161441	Q88
894927	Q89
1261377	Q90
578883	Q91
292300	Q92
1263005	Q93
573856	Q94
227070	Q95
1242016	Q96
732674	Q97
5798	Q98
292305	Q99
336376	Q100
998526	Q101
1088076	Q102
984095	Q103
134317	Q104
651972	Q105
588132	Q106
590052	Q107
143586	Q108
1041260	Q109
1097925	Q110
44490	Q111
669630	Q112
340150	Q113
985640	Q114
292298	Q115
482244	Q116
654106	Q117
482252	Q118
482247	Q119
615396	Q120
944393	Q121
151414	Q122
117652	Q123
745515	Q124
515818	Q125
590057	Q126
230126	Q127
582173	Q128
151102	Q129
143990	Q130
8621	Q131
230786	Q132
225964	Q133
24802	Q134
105945	Q135
6563	Q136
375555	Q137
675077	Q138
341194	Q139
148344	Q140
159065	Q141
622710	Q142
341245	Q143
590061	Q144
631994	Q145
114402	Q146
893826	Q147
341195	Q148
231965	Q149
751354	Q150
596483	Q151
239732	Q152
146579	Q153
341253	Q154
1140867	Q155
141781	Q156
894287	Q157
596079	Q158
566077	Q159
126909	Q160
585995	Q161
585982	Q162
140165	Q163
1253381	Q164
374185	Q165
230177	Q166
7529	Q167
49350	Q168
365810	Q169
157029	Q170
646406	Q171
654031	Q172
652119	Q173
644273	Q174
644271	Q175
86833	Q176
68935	Q177
89012	Q178
226837	Q179
292634	Q180
482248	Q181
107912	Q182
301190	Q183
301191	Q184
301082	Q185
301181	Q186
646836	Q187
301188	Q188
579961	Q189
16421	Q190
573808	Q191
573798	Q192
434970	Q193
591096	Q194
375887	Q195
573801	Q196
648261	Q197
573806	Q198
238088	Q199
602348	Q200
384889	Q201
1088715	Q202
140632	Q203
987108	Q204
160968	Q205
1009853	Q206
602403	Q207
720828	Q208
568120	Q209
977253	Q210
621647	Q211
972388	Q212
725234	Q213
601829	Q214
723313	Q215
4201	Q216
669973	Q217
590048	Q218
590049	Q219
590051	Q220
669874	Q221
54559	Q222
54548	Q223
53660	Q224
656080	Q225
301306	Q226
301311	Q227
100978	Q228
301319	Q229
142849	Q230
144754	Q231
1184625	Q232
1221820	Q233
1002874	Q234
670880	Q235
850014	Q236
540873	Q237
342970	Q238
665349	Q239
164989	Q240
1109664	Q241
366607	Q242
616937	Q243
580838	Q244
1238980	Q245
366659	Q246
1255776	Q247
897129	Q248
142271	Q249
726769	Q250
100936	Q251
142321	Q252
224425	Q253
1031443	Q254
340152	Q255
582752	Q256
144018	Q257
717117	Q258
932868	Q259
328192	Q260
139132	Q261
932881	Q262
932890	Q263
328196	Q264
1026114	Q265
932906	Q266
595576	Q267
887165	Q268
328191	Q269
328193	Q270
932907	Q271
1261686	Q272
328194	Q273
342561	Q274
668516	Q275
1098870	Q276
139144	Q277
668522	Q278
328195	Q279
505803	Q280
668487	Q281
140852	Q282
61540	Q283
670881	Q284
7030	Q285
140931	Q286
731638	Q287
69469	Q288
21844	Q289
147361	Q290
149834	Q291
132361	Q292
116565	Q293
155662	Q294
230317	Q295
946627	Q296
1171296	Q297
156168	Q298
1053286	Q299
6731	Q300
142904	Q301
224312	Q302
238407	Q303
481731	Q304
286071	Q305
238770	Q306
238758	Q307
342424	Q308
339167	Q309
335270	Q310
1233299	Q311
894909	Q312
1060004	Q313
138482	Q314
596711	Q315
138481	Q316
433165	Q317
619176	Q318
141866	Q319
844727	Q320
302691	Q321
301078	Q322
143720	Q323
300761	Q324
737812	Q325
238820	Q326
380714	Q327
1072920	Q328
900214	Q329
138395	Q330
1197291	Q331
237797	Q332
894897	Q333
160478	Q334
509332	Q335
851377	Q336
1112655	Q337
1171271	Q338
1171270	Q339
1171269	Q340
1171272	Q341
854731	Q342
142616	Q343
984767	Q344
61772	Q345
292591	Q346
648117	Q347
292302	Q348
616922	Q349
104510	Q350
341244	Q351
479942	Q352
292629	Q353
541400	Q354
226840	Q355
574169	Q356
1270572	Q357
1204601	Q358
1035993	Q359
102577	Q360
1114343	Q361
932867	Q362
932588	Q363
1220030	Q364
932880	Q365
932889	Q366
1243206	Q367
1243274	Q368
1026113	Q369
1243272	Q370
932905	Q371
932637	Q372
932590	Q373
1243271	Q374
1243269	Q375
1243268	Q376
932809	Q377
1243275	Q378
1243215	Q379
1243277	Q380
1243276	Q381
1243273	Q382
1242909	Q383
1243270	Q384
1242910	Q385
1243190	Q386
901370	Q387
669507	Q388
723071	Q389
679159	Q390
979738	Q391
241587	Q392
1185788	Q393
653372	Q394
1141880	Q395
948072	Q396
593496	Q397
674478	Q398
644624	Q399
1065723	Q400
725244	Q401
940983	Q402
726253	Q403
329444	Q404
377775	Q405
733851	Q406
241521	Q407
369180	Q408
1040720	Q409
1038656	Q410
615225	Q411
390562	Q412
295232	Q413
162568	Q414
328197	Q415
1039216	Q416
231562	Q417
617122	Q418
142953	Q419
239810	Q420
225824	Q421
164848	Q422
615438	Q423
159612	Q424
289402	Q425
242501	Q426
521472	Q427
369179	Q428
892591	Q429
148931	Q430
143037	Q431
142954	Q432
142956	Q433
687330	Q434
971878	Q435
859648	Q436
162513	Q437
105082	Q438
1038219	Q439
1193554	Q440
967615	Q441
668570	Q442
146249	Q443
1038067	Q444
668520	Q445
885809	Q446
711624	Q447
668585	Q448
1060360	Q449
520876	Q450
898528	Q451
972061	Q452
225124	Q453
140421	Q454
841836	Q455
374089	Q456
1172869	Q457
375922	Q458
163656	Q459
645629	Q460
647201	Q461
573492	Q462
142937	Q463
243062	Q464
517746	Q465
226203	Q466
659851	Q467
574170	Q468
34055	Q469
742328	Q470
742327	Q471
744884	Q472
1112609	Q473
302097	Q474
144100	Q475
590058	Q476
144001	Q477
746935	Q478
735108	Q479
142943	Q480
227595	Q481
339891	Q482
1204605	Q483
944390	Q484
944376	Q485
229067	Q486
566076	Q487
143840	Q488
574171	Q489
143862	Q490
341101	Q491
143865	Q492
398542	Q493
143870	Q494
365301	Q495
399158	Q496
886356	Q497
944380	Q498
944384	Q499
944397	Q500
570722	Q501
398964	Q502
944394	Q503
1013064	Q504
587082	Q505
121030	Q506
618742	Q507
85608	Q508
648637	Q509
736789	Q510
295145	Q511
114656	Q512
146725	Q513
205349	Q514
654137	Q515
1265676	Q516
719942	Q517
645573	Q518
729086	Q519
908985	Q520
599580	Q521
147493	Q522
140650	Q523
1196553	Q524
82998	Q525
1172727	Q526
291996	Q527
1264610	Q528
1264608	Q529
1252152	Q530
892697	Q531
934260	Q532
720935	Q533
481923	Q534
934258	Q535
892695	Q536
1089302	Q537
892694	Q538
482209	Q539
481924	Q540
482881	Q541
892687	Q542
428658	Q543
934257	Q544
934259	Q545
1255313	Q546
1255314	Q547
720859	Q548
892696	Q549
968738	Q550
870641	Q551
892691	Q552
909141	Q553
570717	Q554
720873	Q555
1085885	Q556
738609	Q557
367686	Q558
367400	Q559
160869	Q560
388242	Q561
1252259	Q562
1192921	Q563
482793	Q564
1219993	Q565
578885	Q566
969228	Q567
970823	Q568
588858	Q569
150958	Q570
1219995	Q571
577727	Q572
577724	Q573
292299	Q574
1263004	Q575
686539	Q576
998154	Q577
669836	Q578
573848	Q579
573851	Q580
573854	Q581
227068	Q582
669835	Q583
1242014	Q584
1242015	Q585
732673	Q586
1194013	Q587
616918	Q588
1059954	Q589
149582	Q590
79672	Q591
11030	Q592
939101	Q593
616917	Q594
891009	Q595
1177258	Q596
939077	Q597
292304	Q598
733324	Q599
336375	Q600
1272843	Q601
143912	Q602
573855	Q603
1088075	Q604
143966	Q605
144937	Q606
142315	Q607
1034853	Q608
1236950	Q609
589736	Q610
669878	Q611
147439	Q612
22088	Q613
123487	Q614
142278	Q615
1078593	Q616
670096	Q617
670488	Q618
583768	Q619
143963	Q620
997824	Q621
145890	Q622
726089	Q623
1255315	Q624
983694	Q625
675100	Q626
143896	Q627
340153	Q628
145452	Q629
292297	Q630
1056286	Q631
242676	Q632
295738	Q633
482243	Q634
144000	Q635
482251	Q636
482246	Q637
292301	Q638
944392	Q639
1173815	Q640
82141	Q641
82165	Q642
111817	Q643
101338	Q644
111832	Q645
44489	Q646
111830	Q647
669506	Q648
669841	Q649
721175	Q650
686528	Q651
686599	Q652
669201	Q653
674309	Q654
1249279	Q655
1087092	Q656
674503	Q657
1097267	Q658
685644	Q659
859618	Q660
721176	Q661
744625	Q662
744502	Q663
744671	Q664
744593	Q665
744591	Q666
702399	Q667
686962	Q668
669067	Q669
378300	Q670
1086001	Q671
654105	Q672
686612	Q673
363338	Q674
286089	Q675
144568	Q676
645376	Q677
43322	Q678
482822	Q679
734728	Q680
670052	Q681
1238207	Q682
141679	Q683
1255310	Q684
582169	Q685
421186	Q686
1262312	Q687
984596	Q688
521320	Q689
521322	Q690
540632	Q691
143169	Q692
143101	Q693
76392	Q694
149087	Q695
62847	Q696
1171335	Q697
67692	Q698
149767	Q699
1133272	Q700
116974	Q701
1107680	Q702
328470	Q703
302062	Q704
19193	Q705
1070817	Q706
1088763	Q707
227372	Q708
163514	Q709
896759	Q710
10643	Q711
596861	Q712
686938	Q713
984772	Q714
675959	Q715
670075	Q716
653499	Q717
590151	Q718
1211337	Q719
590148	Q720
590149	Q721
590147	Q722
1026643	Q723
144796	Q724
653337	Q725
1072069	Q726
341249	Q727
341247	Q728
341246	Q729
643506	Q730
643512	Q731
894290	Q732
1028103	Q733
933165	Q734
643515	Q735
643502	Q736
647200	Q737
643516	Q738
643503	Q739
643505	Q740
643508	Q741
643501	Q742
596482	Q743
596484	Q744
1246758	Q745
239731	Q746
119203	Q747
375546	Q748
341250	Q749
848962	Q750
594324	Q751
225102	Q752
126904	Q753
968838	Q754
126905	Q755
161639	Q756
652035	Q757
1084493	Q758
126906	Q759
52581	Q760
126908	Q761
591820	Q762
60133	Q763
109534	Q764
328471	Q765
203795	Q766
227057	Q767
111166	Q768
947079	Q769
648209	Q770
328472	Q771
146819	Q772
42709	Q773
7528	Q774
372560	Q775
947081	Q776
983214	Q777
372557	Q778
372558	Q779
547275	Q780
1016282	Q781
165262	Q782
631511	Q783
