pageid	qid
647676	Q6711
838811	Q6712
667099	Q6713
667092	Q6714
1174112	Q6715
745151	Q6716
747350	Q6717
745059	Q6718
747032	Q6719
747368	Q6720
420384	Q6721
1149171	Q6722
1173837	Q6723
159040	Q6724
611759	Q6725
18768	Q6726
62823	Q6727
45073	Q6728
435358	Q6729
42874	Q6730
240123	Q6731
18824	Q6732
67225	Q6733
133147	Q6734
39848	Q6735
45017	Q6736
76294	Q6737
45116	Q6738
82070	Q6739
75769	Q6740
298044	Q6741
67038	Q6742
1271662	Q6743
100548	Q6744
14988	Q6745
125593	Q6746
972637	Q6747
971989	Q6748
1051419	Q6749
747036	Q6750
164286	Q6751
164228	Q6752
120487	Q6753
1204006	Q6754
1028021	Q6755
1098419	Q6756
731398	Q6757
568121	Q6758
59893	Q6759
1125349	Q6760
552310	Q6761
1176650	Q6762
1203633	Q6763
1066711	Q6764
1148387	Q6765
1072295	Q6766
669207	Q6767
598020	Q6768
153132	Q6769
987053	Q6770
968272	Q6771
56237	Q6772
482904	Q6773
748068	Q6774
152815	Q6775
585966	Q6776
1064455	Q6777
858959	Q6778
1100923	Q6779
1149078	Q6780
1133667	Q6781
239903	Q6782
899534	Q6783
131794	Q6784
931668	Q6785
239865	Q6786
396003	Q6787
190208	Q6788
241661	Q6789
839533	Q6790
745095	Q6791
279637	Q6792
848351	Q6793
161729	Q6794
92923	Q6795
92913	Q6796
1072226	Q6797
1072290	Q6798
847145	Q6799
1139200	Q6800
66673	Q6801
112191	Q6802
128105	Q6803
660446	Q6804
1189027	Q6805
1026969	Q6806
54547	Q6807
53726	Q6808
54368	Q6809
49115	Q6810
46526	Q6811
587949	Q6812
645625	Q6813
588575	Q6814
99503	Q6815
62677	Q6816
739835	Q6817
739870	Q6818
117605	Q6819
225121	Q6820
590042	Q6821
227336	Q6822
589746	Q6823
586213	Q6824
739869	Q6825
747054	Q6826
568080	Q6827
1024670	Q6828
1061533	Q6829
731101	Q6830
1276942	Q6831
1276294	Q6832
74391	Q6833
745063	Q6834
164410	Q6835
669328	Q6836
1105283	Q6837
41161	Q6838
72981	Q6839
56820	Q6840
93934	Q6841
1111684	Q6842
745097	Q6843
745148	Q6844
291804	Q6845
647072	Q6846
230740	Q6847
573675	Q6848
363144	Q6849
579422	Q6850
97899	Q6851
643499	Q6852
971768	Q6853
573655	Q6854
122166	Q6855
900551	Q6856
654030	Q6857
666432	Q6858
856035	Q6859
573657	Q6860
1009239	Q6861
573514	Q6862
858974	Q6863
120873	Q6864
573480	Q6865
365815	Q6866
