author,authorname,gender,affs,argitalpenak,year
https://wikibase.inguma.eus/entity/Q10460,Demetrio Garmendia,male,,Arantzazu,1969
https://wikibase.inguma.eus/entity/Q11296,Janbattitt Dirassar,male,,Iparraldean nola ohartu ginen euskara batuari Eskual Herria Frantziarekin hartuemanetan Emile Larreren hilberria (1926-2015),1969
https://wikibase.inguma.eus/entity/Q10897,Nemesio Etxaniz Aranbarri,male,,Salbatore saiolari,1970
https://wikibase.inguma.eus/entity/Q7241,Federico Zabala Altzibar-Jauregi,male,,Euskal Herriaren historia W.V.O. Quine-ren filosofiaren semantika zientifikoaz,1971
https://wikibase.inguma.eus/entity/Q12794,Iñaki Aizpurua Zufiria,male,Euskal Herriko Unibertsitatea,Geroko irakasleak eta sexualitatea Ikastolen historiarako ikusbide bat (1960-1972) Irakaslegoaren ondoeza Gipuzkoan,1972
https://wikibase.inguma.eus/entity/Q7416,Joseba Urrutia,male,,Hizkuntzbitasuna legedi positibuetan Gure ikastola,1972
https://wikibase.inguma.eus/entity/Q10047,Joxe A. Ibarbia,male,,Paul Tillich eta beronen pentsabidea,1972
https://wikibase.inguma.eus/entity/Q10161,Luis Haranburu Altuna,male,,"Gure ikastola In memoriam Miguel Azaola Gure Gauzak S.A. Euskal Herriko erakunde estatalak Ikastola, geroaren habe",1972
https://wikibase.inguma.eus/entity/Q10504,Felix Garitano,male,,Ikastolako erlijio arazoaz Gure ikastola,1972
https://wikibase.inguma.eus/entity/Q12532,Joan Ansa,male,,Gure ikastola Ikastolak eta Espainiako irakaskintza legea,1972
https://wikibase.inguma.eus/entity/Q12676,Arantxa Allur,female,,Ikastolak eta irakasleak,1972
https://wikibase.inguma.eus/entity/Q12953,Jose Antonio Aduriz Zabala,male,,"Zalantzazko hainbat puntu morfosintaktiko LEF batzordearen proposamena Euskaltzaindiari Hiztegi batua, lanketa-eta onespen prozedurak Hiztegi batuaren datu-base lexikografikoa Marxismoaz mahaingurua Euskal nekazaritzaren etorkizuna Asisko Frantzisko: idazkiak, biografiak eta garaiko dokumentuak. Asisko Klara: idazkiak Hizkuntzabitasuna, gizartea, pertsona",1972
https://wikibase.inguma.eus/entity/Q9359,Beñat Laxague,male,,Israelgo elkarteak Koperatibak,1973
https://wikibase.inguma.eus/entity/Q9483,Angel Larrainaga,male,,Koperatibak Mondragoeko koperatiba entsegua,1973
https://wikibase.inguma.eus/entity/Q10568,Roman Garate,male,,"Etika sarrera: ez-ta-bai-dan Etika eta askatasuna Lanaren antropologia (1. atala) Lanaren antropologia (2. atala) Nietzscheren inguruan: gizakia (duintasuna)-Jaungoikoa Oroimena: herria, arkaikoa, historia Gizakia maitagogoa da",1973
https://wikibase.inguma.eus/entity/Q10867,Martin Etxeberria Zuloaga,male,,Euskaldunen ipuin harrigarriak Euskal ipuin harrigarriak Euskara-irakaslearen eskuliburua,1973
https://wikibase.inguma.eus/entity/Q10882,Itziar Etxegia Lizaso,female,,Pilota: kirol hiztegiak Axularekin ikasle,1973
